rate	title	country	rating_sum	year
4.1	新扎师姐3：百分百型警	香港	90.0	2004
5.6	花心红杏	香港	90.0	1985
6.2	夜激情	香港	91.0	1989
4.1	婚前杀行为	香港	91.0	2004
5.5	清官难审	香港	91.0	1994
6.7	钓金龟	香港	91.0	1969
7.4	万古流芳	香港	91.0	1965
5.1	灵幻新娘	香港	91.0	1991
6.1	婚外情	香港	91.0	1988
4.8	艳降	香港	91.0	1993
8.3	狮子山下 野孩子	香港	92.0	1977
6.6	十七岁的夏天	香港	92.0	2005
5.4	老表发钱寒	香港	92.0	1991
7.7	春自人间来	香港	92.0	1967
3.5	新倾国倾城	香港	92.0	2005
4.9	落叶飞刀	香港	92.0	1972
6.2	死心不息	香港	92.0	2006
6.7	南拳北腿斗金狐	香港	93.0	1977
5.8	湖山盟	香港	93.0	1962
7.0	车魂	香港	93.0	1983
8.2	金枝玉叶	香港	93.0	1964
7.7	杀手与卧底的久别重逢	香港	93.0	2016
4.0	迷踪霍元甲	香港	93.0	1981
7.6	难兄难弟	香港	93.0	1960
4.8	毒咒	香港	94.0	1985
6.5	大罗剑侠	香港	94.0	1970
4.8	恶爷	香港	94.0	1980
6.2	天使行动2：火凤狂龙	香港	94.0	1988
4.0	精武真英雄	香港	94.0	2004
7.0	又见冤家	香港	94.0	1988
6.0	黑道日子	香港	95.0	1989
6.3	貂女	香港	95.0	1978
5.8	走火炮	香港	95.0	1984
6.8	宋宫秘史	香港	95.0	1965
5.9	金田一手稿之奇异档案	香港	95.0	1996
5.3	孽恋	香港	95.0	1995
4.9	鬼怒川	香港	95.0	1971
4.2	赤裸狂花	香港	95.0	1994
6.5	少林与武当	香港	95.0	1981
6.9	天生一对	香港	95.0	1985
5.5	冒险游戏	香港	95.0	1995
4.4	断魂咒	香港	96.0	2001
6.2	西贡的童话	香港	96.0	2003
6.2	侠士行	香港	96.0	1971
5.6	陈梦吉计破脂粉阵	香港	96.0	1975
6.1	玉面飞狐	香港	96.0	1968
7.0	丁一山	香港	96.0	1976
4.3	夕阳古惑仔	香港	96.0	2000
5.3	杀手狂龙	香港	96.0	2002
6.5	裤甲天下	香港	96.0	1988
7.8	死亡监狱	香港	96.0	1994
6.3	火种	香港	97.0	1991
6.7	双凤奇缘	香港	97.0	1964
5.1	金毛狮王	香港	97.0	1975
6.1	蝴蝶杯	香港	97.0	1965
6.5	错体人	香港	97.0	1985
7.1	关于他们的一些事	香港	98.0	2016
7.0	月夜闪灵	香港	98.0	2000
6.3	伦文敘智斗柳先开	香港	98.0	1979
3.0	卿何薄命之羔羊少女	香港	98.0	2002
5.7	怪侠	香港	98.0	1968
5.2	秃鹰档案	香港	98.0	1991
6.7	绰头状元	香港	98.0	1974
6.7	歌女之歌	香港	98.0	1948
4.3	毒祸2	香港	98.0	2011
6.8	我要逃亡	香港	98.0	1988
7.3	沙胆英	香港	98.0	1976
7.0	蓝与黑续集	香港	99.0	1966
4.5	暴劫柔情	香港	99.0	1994
5.0	生日多恋事	香港	99.0	1997
5.4	你情我愿	香港	99.0	1986
4.3	无法尖叫	香港	99.0	2004
5.4	武状元铁桥三	香港	99.0	1993
6.7	警贼兄弟	香港	99.0	1986
4.8	庙街十三妹	香港	100.0	1993
5.9	断魂谷	香港	100.0	1968
5.3	烈血风云	香港	100.0	1988
7.0	恋人路上	香港	100.0	2008
4.8	猛鬼迫人	香港	100.0	1985
6.4	少林活宝贝	香港	100.0	1994
6.2	皇家大贼	香港	100.0	1985
5.5	金印仇	香港	100.0	1971
6.0	小英雄大闹唐人街	香港	101.0	1974
5.7	雷霆掃穴	香港	101.0	1992
5.7	恶虎村	香港	101.0	1974
5.8	老夫子奇趣录	香港	101.0	1978
4.2	终极格斗	香港	102.0	2004
5.7	虎胆	香港	102.0	1969
4.4	凶宅胭脂	香港	102.0	1998
4.4	面青青有排惊	香港	102.0	1998
6.7	神经刀	香港	102.0	1969
5.6	九命怪猫	香港	102.0	1991
5.5	疯狂八三	香港	103.0	1983
6.7	薄荷咖啡	香港	103.0	1982
5.4	鬼同你玩	香港	103.0	2000
7.5	三文治	香港	104.0	1984
6.6	差人·大佬·博命仔	香港	104.0	1979
7.4	审妻	香港	104.0	1966
